username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AlvaroaLlanos;2018-12-07 16:56;1;2;"No leí su rechazo a los.daños realizados por algunos vándalos de la universidad del Valle, cada vez que estos pocos disque estudiantes se toman las calles para destruir los padres de hijos que estudian en el.sector nos sentimos igual de amenazados";;;;"1071085988703817729";https://twitter.com/AlvaroaLlanos/status/1071085988703817729
Diarioccidente;2018-12-07 16:30;0;1;"#Cali | Como terroristas y bandidos calificó el alcalde de Cali, @MauriceArmitage , al grupo de encapuchados que el pasado miércoles destruyó el alumbrado navideño en el sector de la Universidad del Valle http://bit.ly/2zN6uLr - vía @Diarioccidente";;@MauriceArmitage @Diarioccidente;#Cali;"1071079466796048384";https://twitter.com/Diarioccidente/status/1071079466796048384
kuijii;2018-12-07 16:08;0;0;"I'm at Universidad Del Valle De Cuernavaca in Cuernavaca, Morelos https://www.swarmapp.com/c/2XrcNOUew8i";;;;"1071074033339392001";https://twitter.com/kuijii/status/1071074033339392001
ValenciaNels0n;2018-12-07 15:17;3;3;"Rechazamos y denunciamos ante la comunidad universitaria y los entes pertinentes, las amenazas en contra de Sara Isabel Bolaños de la Universidad Del Valle y miembro de la ACREES. ";;;;"1071061229811187713";https://twitter.com/ValenciaNels0n/status/1071061229811187713
SilvaVinasco64;2018-12-07 14:58;0;0;"Desde la Universidad del Valle se ha desarrollado este documento, para que se amplíe el conocimiento de la deuda del estado con la U pública. El problema Actual de la Universidad Pública https://issuu.com/correounivalle275/docs/el_problema_actual_de_la_universida vía @issuu";;@issuu;;"1071056246235693063";https://twitter.com/SilvaVinasco64/status/1071056246235693063
RtCali;2018-12-07 14:52;0;0;"RT ACREESCOL: Rechazamos y denunciamos ante la comunidad universitaria y los entes pertinentes, las amenazas en contra de SaraIBolanos de la Universidad Del Valle y miembro de la ACREES. | RT JERobledo";;;;"1071054769689673729";https://twitter.com/RtCali/status/1071054769689673729
RtCali;2018-12-07 14:47;0;0;"RT gustavotrianasu: PoloDemocratico nuestra solidaridad con Sara Bolaños representante estudiantil de la Universidad del Valle, dirigente de ACREES y militante del PoloJoven Nada justifica amenazas y matoneo, nuestra lucha es civilista y de masas. | RT J…";;;;"1071053564477431809";https://twitter.com/RtCali/status/1071053564477431809
jackbom22;2018-12-07 14:46;0;0;"El distrito De aguablanca ha puesto los últimos 4 alcaldes y está ciudad es un legítimo mierdero. A la universidad Del Valle deben entrar los mejores y no lo de algunos sectores, bájese de la nube";;;;"1071053396709441537";https://twitter.com/jackbom22/status/1071053396709441537
AntaresRock1;2018-12-07 14:17;0;0;"Hoy todos al #UnivalleMetalFest2018 invita @AntaresRock1 en Universidad del Valle - Ciudad Universitaria https://www.instagram.com/p/BrFs7afl582/?utm_source=ig_twitter_share&amp;igshid=1n9det1tg7adn";;@AntaresRock1;#UnivalleMetalFest2018;"1071046098658177024";https://twitter.com/AntaresRock1/status/1071046098658177024
lermus_c;2018-12-07 14:01;0;0;"Las impactantes fotos de los disturbios entre encapuchados de las FARC y el Esmad frente a la Universidad del Valle";;;;"1071041905406996480";https://twitter.com/lermus_c/status/1071041905406996480
gustavotrianasu;2018-12-07 13:31;62;45;"@PoloDemocratico nuestra solidaridad con Sara Bolaños representante estudiantil de la Universidad del Valle, dirigente de ACREES y militante del @PoloJoven Nada justifica amenazas y matoneo, nuestra lucha es civilista y de masas.";;@PoloDemocratico @PoloJoven;;"1071034457019305984";https://twitter.com/gustavotrianasu/status/1071034457019305984
ACREESCOL;2018-12-07 12:33;269;271;"Rechazamos y denunciamos ante la comunidad universitaria y los entes pertinentes, las amenazas en contra de @SaraIBolanos de la Universidad Del Valle y miembro de la ACREES. ";;@SaraIBolanos;;"1071019824749441024";https://twitter.com/ACREESCOL/status/1071019824749441024
coyote_mistico_;2018-12-07 05:19;1;5;"No hay nada más pintoresco que ver a los capuchos de la Universidad del Valle tropeleando con gorros navideños. Unos capos.";;;;"1070910690054033408";https://twitter.com/coyote_mistico_/status/1070910690054033408
sunivalle;2018-12-07 04:41;0;0;"Gracias a la Sección de Seguridad y Vigilancia por recuperar mi bicicleta robada el viernes pasado del iep y recuperada en la madrugada del sábado 1 de diciembre en Universidad del valle https://www.instagram.com/p/BrErDoMHOIy/?utm_source=ig_twitter_share&amp;igshid=8tlh86z0n3e";;;;"1070901021839380480";https://twitter.com/sunivalle/status/1070901021839380480
juliantriana84;2018-12-07 04:33;0;0;"En el Valle del Cauca por ejemplo ha arrojado tremendos resultados a nivel de educación y salud, el HUV está saliendo de la profunda crisis gracias al trabajo denodado de la Universidad del Valle y la Gobernación del Valle, como para dar un ejemplo.";;;;"1070898985068650497";https://twitter.com/juliantriana84/status/1070898985068650497
Katy_SerranoP;2018-12-07 02:49;0;0;"Los estudiantes de la Universidad del Valle recorrieron el Congreso de la República http://prensa.senado.gov.co:8081/index.php/noticias/3027-los-estudiantes-de-la-universidad-del-valle-recorrieron-el-congreso-de-la-republica";;;;"1070872810149593089";https://twitter.com/Katy_SerranoP/status/1070872810149593089
coltainers;2018-12-07 01:38;0;0;"Proyecto Cafetería Universidad Del Valle #cargotectura #contenedores #contenedoresmaritimos #contenedoresmodificados #contenedoresadecuados #arquitecturacontenedores #proyectoscontenedores… https://www.instagram.com/p/BrEWShmBSvN/?utm_source=ig_twitter_share&amp;igshid=o0s83nzhhvgx";;;#cargotectura #contenedores #contenedoresmaritimos #contenedoresmodificados #contenedoresadecuados #arquitecturacontenedores #proyectoscontenedores;"1070854916644712448";https://twitter.com/coltainers/status/1070854916644712448
robertmadrigal;2018-12-07 01:30;0;0;"No señor, no estigmatice la Universidad Del Valle, esta gente no es estudiante.";;;;"1070853119368544256";https://twitter.com/robertmadrigal/status/1070853119368544256
camikeeper80;2018-12-07 01:20;0;0;"Que culpa tiene la palmera, de la estupidez de estos "estudiantes" de la Universidad del Valle";;;;"1070850383805931529";https://twitter.com/camikeeper80/status/1070850383805931529
MovilidadCali;2018-12-07 01:13;2;4;"Cl 13 con Cr 85 sentido N-S presenta congestión vehicular debido a marcha que continuará por esta vía a la entrada de la Universidad del Valle #MovilidadCali – at Multicentro";;;#MovilidadCali;"1070848733317947392";https://twitter.com/MovilidadCali/status/1070848733317947392
MovilidadCali;2018-12-07 00:58;2;2;"Se presenta de la Cl 13 con Cr 85 sentido S-N debido a la marcha que dará el retorno y continuará por la Cl 13 hacia al sur hasta la entrada de la Universidad del Valle #MovilidadCali – at Multicentro";;;#MovilidadCali;"1070844925741285378";https://twitter.com/MovilidadCali/status/1070844925741285378
NoticiasRCN;2018-12-06 23:50;11;15;"Dos policías heridos en medio de disturbios frente a la Universidad del Valle http://bit.ly/2QGHHSM";;;;"1070827729405173760";https://twitter.com/NoticiasRCN/status/1070827729405173760
KalSpArt;2018-12-06 23:42;0;0;"No me gusta venir aquí (@Universidad del Valle de México Campus Coyoacan - @uvmmexico in Coyoacan, DF) https://www.swarmapp.com/c/87nQrnJAK6v";;@UVMMEXICO;;"1070825877842333697";https://twitter.com/KalSpArt/status/1070825877842333697
zambranojhon;2018-12-06 23:29;0;0;"@TaxisLibres4 buenas tardes, me pueden hacer el favor de informar cómo se encuentra el trafico al sur de Cali por las marchas de los estudiantes de la Universidad del Valle @UnivalleCol en defensa de la educación publica. Gracias.";;@TaxisLibres4 @UnivalleCol;;"1070822620797513734";https://twitter.com/zambranojhon/status/1070822620797513734
CarlosA82510275;2018-12-06 23:27;0;0;"Y pensar que esta periodista es egresada de la Universidad del Valle";;;;"1070822060421775360";https://twitter.com/CarlosA82510275/status/1070822060421775360
BLUPacifico;2018-12-06 23:10;0;3;"#Atención Se presenta congestión vehicular debido a marcha pacífica que realizan estudiantes universitarios al rededor de la Universidad del Valle. Los jóvenes hacen un recorrido al rededor de las calles del campus. @MovilidadCali hace presencia y regula el tráfico. 91.5 FM";;@MovilidadCali;#Atenci;"1070817704284696576";https://twitter.com/BLUPacifico/status/1070817704284696576
ManosVisibles;2018-12-06 23:01;0;0;"Ricardo A. Torres, Quimico con Magister en Ciencias Quimicas de la universidad del valle y oriundo de Tumaco, uno de los nominados al premio 'Afrocolombianos 2018' por su aporte en tratamientos de aguas. Más información aquí: http://pagina10.com/web/cientifico-tumaqueno-ricardo-a-torres-palma-es-el-personaje-10-del-dia/";;;;"1070815443584212992";https://twitter.com/ManosVisibles/status/1070815443584212992
omartejada19;2018-12-06 22:01;0;0;"Bandidos desgraciados disfrazados de estudiantes. Y haciendo quedar mal a la Universidad del Valle @UnivalleCol";;@UnivalleCol;;"1070800302989893633";https://twitter.com/omartejada19/status/1070800302989893633
afernandezl;2018-12-06 21:35;2;3;"Vándalos dentro de la Universidad del Valle mostrando la bandera de las Farc. El legado que alias "El Nobel" y De La Calle alias "3%" le dejaron al país. Foto publicada por @elpaiscali.";;@elpaiscali;;"1070793926829846534";https://twitter.com/afernandezl/status/1070793926829846534
UN_DIPAL;2018-12-06 21:22;3;2;" Compra en la página web de la @editorialUN el libro: "Conjeturas organizacionales: fundamentos para el estudio de la organización", compilación de la @UN_Palmira y la Universidad del Valle. http://www.uneditorial.com/conjeturas-organizacionales-fundamentos-para-el-estudio-de-la-organizacion-ciencias-sociales.html?fbclid=IwAR17NNK5SJ4eXPRTO7P5WmD8-Qa0ZIe5tyOY9tgn2U_6EmSGtZTyhJTzXIk#mas-info";;@editorialUN @UN_Palmira;;"1070790532178329601";https://twitter.com/UN_DIPAL/status/1070790532178329601
Debatestv;2018-12-06 20:56;1;1;"Las protestas de los supuestos estudiantes de la Universidad del Valle, están pasando de castaño a oscuro. Algo hay que hacer. Esto no puede continuar.";;;;"1070784075810639873";https://twitter.com/Debatestv/status/1070784075810639873
pablo_bahamon;2018-12-06 20:18;0;1;"Jamás he desconocido la situación de la universidad pública soy egresado de la Universidad del Valle y conocedor del tema";;;;"1070774498658566144";https://twitter.com/pablo_bahamon/status/1070774498658566144
redcaal_uv;2018-12-06 19:26;0;0;"¡Y tenemos más cine! #LeCinéClubAppétit nos invita a ver #CitoyenDHoneur ¡Nos vemos! #RedCAAL #Univalle #Vendredi @Universidad del Valle - Ciudad Universitaria https://www.instagram.com/p/BrDr0NwDhX3/?utm_source=ig_twitter_share&amp;igshid=1jl5xv4b9kp36";;;#LeCin #CitoyenDHoneur #RedCAAL #Univalle #Vendredi;"1070761528830263297";https://twitter.com/redcaal_uv/status/1070761528830263297
redcaal_uv;2018-12-06 19:25;0;0;"Ready for our #CinemaForum tomorrow? See you there! #RedCAAL #Univalle #CinemaForum #Migration @Universidad del Valle - Ciudad Universitaria https://www.instagram.com/p/BrDrjHLD5JF/?utm_source=ig_twitter_share&amp;igshid=tkpk9ejt2zo";;;#CinemaForum #RedCAAL #Univalle #CinemaForum #Migration;"1070761155935629312";https://twitter.com/redcaal_uv/status/1070761155935629312
chuyhr1;2018-12-06 19:25;1;1;"Sería un mejor juego traer a alguna Universidad Canadiense o alguna Universidad del Valle de Texas como @crufootball, @McMurryFootball, @SRSUFootball o @tluathletics, serviría a todos los jugadores de @OnefaMX y sin importar el resultado seria un tazón azteca memorable.";;@CruFootball @McMURRYFOOTBALL @SRSUFootball @tluathletics @OnefaMX;;"1070761094174494720";https://twitter.com/chuyhr1/status/1070761094174494720
